City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Yar-Sale,RU,66.8333,70.8333,52.16,67,2,7.2,clear sky
198,Xapuri,BR,-10.6517,-68.5044,84.97,58,95,1.83,overcast clouds
199,Codrington,AU,-38.2667,141.9667,51.75,85,100,16.69,overcast clouds
200,Humaita,BR,-7.5061,-63.0208,84.63,64,97,2.86,overcast clouds
201,Longyearbyen,SJ,78.2186,15.6401,58.84,55,0,11.5,clear sky
202,Dikson,RU,73.5069,80.5464,47.64,69,42,6.29,scattered clouds
203,Pedernales,DO,18.0384,-71.744,90.36,47,6,11.43,clear sky
204,Mahebourg,MU,-20.4081,57.7,67.24,74,48,16.46,light rain
205,Constitucion,CL,-35.3333,-72.4167,49.78,71,80,4.83,broken clouds
206,Leningradskiy,RU,69.3833,178.4167,37.08,88,100,2.95,overcast clouds
207,Tromso,NO,69.6496,18.957,50.02,87,75,4.61,light intensity shower rain
208,Padang,ID,-0.9492,100.3543,76.21,82,83,4.03,light rain
209,Poyarkovo,RU,49.6,128.6833,66.45,96,90,5.1,overcast clouds
210,Vestmanna,FO,62.1564,-7.1664,49.12,93,100,9.22,overcast clouds
211,Port Keats,AU,-14.25,129.55,60.19,46,20,6.04,few clouds
212,Tarboro,US,35.8968,-77.5358,89.51,62,40,5.75,scattered clouds
213,Mehamn,NO,71.0357,27.8492,51.75,93,100,17.27,light rain
214,Nkhotakota,MW,-12.9274,34.2961,69.01,61,26,17.78,scattered clouds
215,Mogadishu,SO,2.0371,45.3438,76.1,82,42,19.42,scattered clouds
216,Elko,US,41.0002,-115.5012,95.65,14,2,5.99,clear sky
217,Brae,GB,60.3964,-1.353,54.03,91,100,19.42,overcast clouds
218,Naze,JP,28.3667,129.4833,80.76,87,100,14.23,light rain
219,Mount Gambier,AU,-37.8333,140.7667,51.71,93,40,11.5,scattered clouds
220,Lompoc,US,34.6391,-120.4579,82.85,65,0,18.41,clear sky
221,Cape Town,ZA,-33.9258,18.4232,67.37,57,71,1.99,broken clouds
222,Singaraja,ID,-8.112,115.0882,78.01,84,24,4.94,few clouds
223,Misheronskiy,RU,55.7193,39.7383,56.84,76,65,2.17,broken clouds
